SOURCE,DESTINITION,AMOUNT
Linguistic styles: Language use as an individual difference,Differentiating document type and author personality from linguistic features,1
Linguistic styles: Language use as an individual difference,Personality and language use in self-narratives,1
Linguistic styles: Language use as an individual difference,Annotation and recognition of personality traits in spoken conversations from the AMI meetings corpus,1
Linguistic styles: Language use as an individual difference,Just the way you chat: Linking personality,1
Linguistic styles: Language use as an individual difference,The Online Social Self: An Open Vocabulary Approach to Personality,1
Linguistic styles: Language use as an individual difference,How do personality traits affect communication among users in online social networks?,1
Linguistic styles: Language use as an individual difference,A vectorial semantics approach to personality assessment,1
Linguistic styles: Language use as an individual difference,Statistical analysis of personality and identity in chats using a keylogging platform,1
Linguistic styles: Language use as an individual difference,Automatic personality assessment through social media language,1
Linguistic styles: Language use as an individual difference,Characterizing the personality of twitter users based on their timeline information,1
Linguistic styles: Language use as an individual difference,Assessing the Big Five personality traits with latent semantic analysis,1
Linguistic styles: Language use as an individual difference,Analyzing and preventing bias in text-based personal trait prediction algorithms,1
Linguistic styles: Language use as an individual difference,Deep Learning-Based Document Modeling for Personality Detection from Text,1
Linguistic styles: Language use as an individual difference,Estimating Personality from Social Media Posts,1
Linguistic styles: Language use as an individual difference,Modeling personality traits of Filipino Twitter users,1
Linguistic styles: Language use as an individual difference,User profiling through deep multimodal fusion,1
Linguistic styles: Language use as an individual difference,Who am I? Personality detection based on deep learning for texts,1
Linguistic styles: Language use as an individual difference,Recognition of Apparent Personality Traits from Text and Handwritten Images,1
Linguistic styles: Language use as an individual difference,Personality traits for Egyptian twitter users dataset,1
Linguistic styles: Language use as an individual difference,Personality Detection from Text using Convolutional Neural Network,1
Linguistic styles: Language use as an individual difference,Automatic Extraction of Personality from Text: Challenges and Opportunities,1
Linguistic styles: Language use as an individual difference,Automatic Text-Based Personality Recognition on Monologues and Multiparty Dialogues Using Attentive Networks and Contextual Embeddings,1
Linguistic styles: Language use as an individual difference,An OOV-Aware Curation Process for Psycholinguistic Analysis of Social Media Text - A Hybrid Approach,1
Linguistic styles: Language use as an individual difference,Evaluation of the accuracy of personality judgments based on written verbal production [Evaluacija tačnosti procena ličnosti na osnovu pisane verbalne produkcije],1
Linguistic styles: Language use as an individual difference,BREXIT: Psychometric Profiling the Political Salubrious through Machine Learning: Predicting personality traits of Boris Johnson through Twitter political text,1
Linguistic styles: Language use as an individual difference,Predicting Personality Using Answers to Open-Ended Interview Questions,1
Linguistic styles: Language use as an individual difference,Mining micro-influencers from social media posts,1
Linguistic styles: Language use as an individual difference,Knowledge of words: An interpretable approach for personality recognition from social media,1
Linguistic styles: Language use as an individual difference,Vyaktitv: A Multimodal Peer-to-Peer Hindi Conversations based Dataset for Personality Assessment,1
Linguistic styles: Language use as an individual difference,CR-Net: A Deep Classification-Regression Network for Multimodal Apparent Personality Analysis,1
Linguistic styles: Language use as an individual difference,Personality Traits Detection in Bangla: A Benchmark Dataset with Comparative Performance Analysis of State-of-the-Art Methods,1
Linguistic styles: Language use as an individual difference,A Personality Mining System for German Twitter Posts with Global Vectors Word Embedding,1
Linguistic styles: Language use as an individual difference,Psychological Human Traits Detection based on Universal Language Modeling,1
Linguistic styles: Language use as an individual difference,Regional personality assessment through social media language,1
Personality and language use in self-narratives,The Online Social Self: An Open Vocabulary Approach to Personality,1
Personality and language use in self-narratives,Automatic personality assessment through social media language,1
Personality and language use in self-narratives,PT-LDA: A latent variable model to predict personality traits of social network users,1
