Linguistic styles: Language use as an individual difference,"Differentiating document type and author personality from linguistic features,Personality and language use in self-narratives,Annotation and recognition of personality traits in spoken conversations from the AMI meetings corpus,Just the way you chat: Linking personality,The Online Social Self: An Open Vocabulary Approach to Personality,How do personality traits affect communication among users in online social networks?,A vectorial semantics approach to personality assessment,Statistical analysis of personality and identity in chats using a keylogging platform,Automatic personality assessment through social media language,Characterizing the personality of twitter users based on their timeline information,Assessing the Big Five personality traits with latent semantic analysis,Analyzing and preventing bias in text-based personal trait prediction algorithms,Deep Learning-Based Document Modeling for Personality Detection from Text,Estimating Personality from Social Media Posts,Modeling personality traits of Filipino Twitter users,User profiling through deep multimodal fusion,Who am I? Personality detection based on deep learning for texts,Recognition of Apparent Personality Traits from Text and Handwritten Images,Personality traits for Egyptian twitter users dataset,Personality Detection from Text using Convolutional Neural Network,Automatic Extraction of Personality from Text: Challenges and Opportunities,Automatic Text-Based Personality Recognition on Monologues and Multiparty Dialogues Using Attentive Networks and Contextual Embeddings,An OOV-Aware Curation Process for Psycholinguistic Analysis of Social Media Text - A Hybrid Approach,Evaluation of the accuracy of personality judgments based on written verbal production [Evaluacija tačnosti procena ličnosti na osnovu pisane verbalne produkcije],BREXIT: Psychometric Profiling the Political Salubrious through Machine Learning: Predicting personality traits of Boris Johnson through Twitter political text,Predicting Personality Using Answers to Open-Ended Interview Questions,Mining micro-influencers from social media posts,Knowledge of words: An interpretable approach for personality recognition from social media,Vyaktitv: A Multimodal Peer-to-Peer Hindi Conversations based Dataset for Personality Assessment,CR-Net: A Deep Classification-Regression Network for Multimodal Apparent Personality Analysis,Personality Traits Detection in Bangla: A Benchmark Dataset with Comparative Performance Analysis of State-of-the-Art Methods,A Personality Mining System for German Twitter Posts with Global Vectors Word Embedding,Psychological Human Traits Detection based on Universal Language Modeling,Regional personality assessment through social media language,"
Differentiating document type and author personality from linguistic features,""
The geographic distribution of Big Five personality traits: Patterns and profiles of human self-description across 56 nations,""
Personality and language use in self-narratives,"The Online Social Self: An Open Vocabulary Approach to Personality,Automatic personality assessment through social media language,PT-LDA: A latent variable model to predict personality traits of social network users,Evaluation of the accuracy of personality judgments based on written verbal production [Evaluacija tačnosti procena ličnosti na osnovu pisane verbalne produkcije],Personality expression and recognition in Chinese language usage,Using Natural Language Processing to Identify Effective Influencers,"
Recognition of personality traits from human spoken conversations,"Annotation and recognition of personality traits in spoken conversations from the AMI meetings corpus,Vyaktitv: A Multimodal Peer-to-Peer Hindi Conversations based Dataset for Personality Assessment,Personality Traits Detection in Bangla: A Benchmark Dataset with Comparative Performance Analysis of State-of-the-Art Methods,"
Perception of personality and naturalness through dialogues by native speakers of American English and Arabic,""
Predicting personality traits from spontaneous modern Greek text: Overcoming the barriers,""
Mining low-level linguistic features from modern greek spontaneous text for the automatic recognition of authors' personality traits,""
Annotation and recognition of personality traits in spoken conversations from the AMI meetings corpus,""
Predicting dark triad personality traits from twitter usage and a linguistic analysis of tweets,"semi-supervised classification approach applied to personality prediction in social media,Analyzing and preventing bias in text-based personal trait prediction algorithms,Automated Domain Bias Correction and Its Application in Text-Based Personality Analysis,"
